	Kingdom	Phylum	Class	Order	Family	Genus	Species
Anaerovorax.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	Anaerovorax.unclassified
Sutterella.wadsworthensis	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella.wadsworthensis
Prevotellaceae UCG-001.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	Prevotellaceae UCG-001.unclassified
Clostridium sensu stricto 1.paraputrificum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.paraputrificum
Frisingicoccus.caecimuris	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus.caecimuris
Alistipes.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.unclassified
DTU089.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	DTU089	DTU089.unclassified
Megamonas.hypermegale	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	Megamonas.hypermegale
uc_o_Oscillospirales.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	unclassified	uc_o_Oscillospirales	uc_o_Oscillospirales.unclassified
Fusobacterium.unclassified	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.unclassified
Serratia.fonticola	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia.fonticola
Parasutterella.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella.unclassified
